30000,0.00031792
40000,0.00053676
50000,0.00057901
60000,0.00067438
70000,0.00088378
80000,0.00126232
90000,0.00132294
100000,0.00145663
60000,0.00049257
80000,0.0007514
100000,0.00098764
120000,0.00121917
140000,0.00159272
160000,0.0016697
180000,0.00187434
200000,0.002306
90000,0.00074634
120000,0.00112432
150000,0.00124731
180000,0.00164792
210000,0.00212091
240000,0.00262165
270000,0.00354954
300000,0.00356133
120000,0.00099854
160000,0.00155754
200000,0.00204907
240000,0.00269108
280000,0.00363465
320000,0.00361535
360000,0.00413942
400000,0.00489943
150000,0.00125579
200000,0.0017641
250000,0.0022781
300000,0.00312939
350000,0.00383543
400000,0.00435564
450000,0.00609218
500000,0.00661603
