30000, 0.00054
40000, 0.00058
50000, 0.00081
60000, 0.00157
70000, 0.00171
80000, 0.00240
90000, 0.00285
100000, 0.00353
60000, 0.00059
80000, 0.00136
100000, 0.00167
120000, 0.00243
140000, 0.00281
160000, 0.00364
180000, 0.00442
200000, 0.00527
90000, 0.00100
120000, 0.00170
150000, 0.00237
180000, 0.00296
210000, 0.00370
240000, 0.00488
270000, 0.00609
300000, 0.00701
120000, 0.00124
160000, 0.00250
200000, 0.00358
240000, 0.00496
280000, 0.00645
320000, 0.00651
360000, 0.00770
400000, 0.00908
150000, 0.00180
200000, 0.00311
250000, 0.00447
300000, 0.00624
350000, 0.00751
400000, 0.00814
450000, 0.00969
500000, 0.01100
